asv	origin	relative_abundance
ASV 1832 Melioribacteraceae	Modern marine	8.26212053081871e-6
ASV 1833 Micrarchaeia	Modern marine	8.26212053081871e-6
ASV 1834 Planctomycetes	Modern marine	8.26212053081871e-6
ASV 1835 Candidatus Woesebacteria	Modern marine	7.511018664380646e-6
ASV 1836 Bacteria	Modern marine	6.008814931504517e-6
ASV 1837 Woesearchaeia	Modern marine	4.005876621003011e-6
ASV 1838 Candidatus Buchananbacteria	Modern marine	3.755509332190323e-6
ASV 1839 Candidatus Falkowbacteria	Modern marine	7.761385953193334e-6
ASV 1840 Zixibacteria	Old saline	3.5874104851398693e-6
ASV 1841 Bacteria	Modern marine	8.26212053081871e-6
ASV 1842 Candidatus Nealsonbacteria	Modern marine	7.511018664380646e-6
ASV 1843 Omnitrophicaeota	Modern marine	3.505142043377635e-6
ASV 1844 Candidatus Kerfeldbacteria	Modern marine	8.26212053081871e-6
ASV 1845 Candidatus Desulforudis	Old saline	1.7219570328671374e-5
ASV 1846 Burkholderiaceae	Old saline	2.4394391298951114e-5
ASV 1847 Methyloversatilis	Modern marine	8.762855108444087e-6
ASV 1848 Candidatus Falkowbacteria	Modern marine	8.011753242006022e-6
ASV 1849 Bacteria	Modern marine	8.512487819631399e-6
ASV 1850 Syntrophus	Modern marine	8.512487819631399e-6
ASV 1851 Syntrophus	Modern marine	7.761385953193335e-6
ASV 1852 Omnitrophicaeota	Modern marine	7.761385953193335e-6
ASV 1853 FW22	Modern marine	2.5036728881268823e-6
ASV 1854 Omnitrophicaeota	Modern marine	7.2606513755679586e-6
ASV 1855 Candidatus Falkowbacteria	Modern marine	7.761385953193334e-6
ASV 1856 WOR-1	Modern marine	8.26212053081871e-6
ASV 1857 Desulfatiglans	Modern marine	8.011753242006022e-6
ASV 1858 Rhodocyclaceae	Modern marine	7.511018664380646e-6
ASV 1859 Burkholderiaceae	Modern marine	7.761385953193335e-6
ASV 1860 Hydrogenophaga	Modern marine	8.762855108444087e-6
ASV 1861 Rhodobacteraceae	Old saline	2.4394391298951114e-5
ASV 1862 Aquimixticola	Old saline	2.4394391298951114e-5
ASV 1863 Isosphaeraceae	Old saline	2.6546837590035036e-5
ASV 1864 Sphingobacteriales	Old saline	2.2241945007867192e-5
ASV 1865 Anaerolineaceae	Old saline	2.2241945007867192e-5
ASV 1866 Deltaproteobacteria	Modern marine	7.761385953193335e-6
ASV 1867 Planctomycetes	Modern marine	8.26212053081871e-6
ASV 1868 SAR324 clade(Marine_group_B)	Modern marine	6.509549509129893e-6
ASV 1869 Bathyarchaeia	Modern marine	8.512487819631399e-6
ASV 1870 Desulfobulbaceae	Modern marine	5.758447642691829e-6
ASV 1871 Thermodesulfovibrionia	Modern marine	7.01028408675527e-6
ASV 1872 RBG-16-49-21	Modern marine	7.511018664380647e-6
ASV 1873 Desulfofustis	Modern marine	8.26212053081871e-6
ASV 1874 Bacteroidales	Modern marine	6.259182220317205e-6
ASV 1875 Omnitrophicaeota	Modern marine	5.257713065066453e-6
ASV 1876 Bacteria	Modern marine	2.0029383105015055e-6
ASV 1877 FS118-23B-02	Modern marine	2.7540401769395703e-6
ASV 1878 Woesearchaeia	Modern marine	2.7540401769395703e-6
ASV 1879 Candidatus Woesebacteria	Modern marine	5.257713065066453e-6
ASV 1880 UBA9983	Modern marine	7.2606513755679586e-6
ASV 1881 Deltaproteobacteria	Modern marine	7.2606513755679586e-6
ASV 1882 Thiobacillus	Old saline	2.2959427104895164e-5
ASV 1883 Babeliales	Modern marine	8.262120530818712e-6
ASV 1884 SAR202 clade	Modern marine	1.0014691552507528e-5
ASV 1885 Rs-M47	Modern marine	4.2562439098156994e-6
ASV 1886 Sh765B-AG-111	Modern marine	3.0044074657522587e-6
ASV 1887 Erysipelothrix	Modern marine	7.761385953193335e-6
ASV 1888 NKB15	Modern marine	9.013222397256776e-6
ASV 1889 Candidatus Adlerbacteria	Old saline	2.4394391298951114e-5
ASV 1890 Campylobacterales	Old saline	2.2241945007867192e-5
ASV 1891 Candidatus Kerfeldbacteria	Old saline	2.0806980813811242e-5
ASV 1892 Acetobacterales Incertae_Sedis	Modern marine	5.508080353879141e-6
ASV 1893 Candidatus Falkowbacteria	Modern marine	6.759916797942582e-6
ASV 1894 FW113	Modern marine	6.259182220317205e-6
ASV 1895 Patescibacteria	Modern marine	7.260651375567958e-6
ASV 1896 Syntrophus	Modern marine	6.509549509129893e-6
ASV 1897 Dongia	Modern marine	1.251836444063441e-5
ASV 1898 Candidatus Kerfeldbacteria	Modern marine	5.257713065066452e-6
ASV 1899 GWA2-38-13b	Modern marine	6.0088149315045166e-6
ASV 1900 Campylobacterales	Modern marine	7.511018664380646e-6
ASV 1901 MSBL5	Modern marine	8.011753242006022e-6
ASV 1902 Omnitrophicaeota	Modern marine	4.756978487441076e-6
ASV 1903 SEEP-SRB1	Modern marine	6.509549509129893e-6
ASV 1904 Burkholderiaceae	Modern marine	7.761385953193335e-6
ASV 1905 Rhodocyclaceae	Modern marine	9.764324263694841e-6
ASV 1906 Actinomarinales	Modern marine	8.512487819631399e-6
ASV 1907 PRD18C08	Modern marine	5.007345776253765e-6
ASV 1908 Thermodesulfovibrionia	Modern marine	7.761385953193335e-6
ASV 1909 Acetothermiia	Modern marine	8.011753242006022e-6
ASV 1910 Betaproteobacteriales	Modern marine	8.512487819631399e-6
ASV 1911 Burkholderiaceae	Modern marine	8.26212053081871e-6
ASV 1912 Bacteria	Old saline	2.2241945007867192e-5
ASV 1913 Candidatus Paceibacter	Old saline	2.2959427104895164e-5
ASV 1914 Omnitrophia	Old saline	2.2241945007867192e-5
ASV 1915 Desulfoconvexum	Old saline	2.0806980813811242e-5
ASV 1916 Bacteria	Old saline	2.2959427104895164e-5
ASV 1917 UTCFX1	Old saline	2.0806980813811242e-5
ASV 1918 Candidatus Colwellbacteria	Old saline	2.0806980813811242e-5
ASV 1919 OM190	Old saline	2.1524462910839217e-5
ASV 1920 Rhizobiaceae	Modern marine	8.26212053081871e-6
ASV 1921 Rhizobiales	Modern marine	7.2606513755679586e-6
ASV 1922 Rhizobiaceae	Modern marine	7.01028408675527e-6
ASV 1923 Candidatus Kerfeldbacteria	Modern marine	7.511018664380646e-6
ASV 1924 Omnitrophicaeota	Modern marine	7.2606513755679586e-6
ASV 1925 Micrarchaeia	Modern marine	8.011753242006022e-6
ASV 1926 Margulisbacteria	Modern marine	6.0088149315045166e-6
ASV 1927 WS2	Modern marine	2.253305599314194e-6
ASV 1928 Latescibacteria	Modern marine	5.758447642691829e-6
ASV 1929 Candidatus Kerfeldbacteria	Modern marine	4.756978487441076e-6
ASV 1930 Candidatus Kerfeldbacteria	Modern marine	4.506611198628388e-6
ASV 1931 Lineage IV	Modern marine	5.257713065066452e-6
ASV 1932 Lachnospiraceae	Modern marine	6.259182220317206e-6
ASV 1933 Woesearchaeia	Modern marine	7.01028408675527e-6
ASV 1934 Candidatus Levybacteria	Modern marine	7.01028408675527e-6
ASV 1935 Bacteria	Modern marine	7.01028408675527e-6
ASV 1936 Campylobacterales	Modern marine	7.2606513755679586e-6
ASV 1937 Woesearchaeia	Modern marine	7.01028408675527e-6
ASV 1938 661239	Old saline	1.9372016619755295e-5
ASV 1939 Paraherbaspirillum	Old saline	2.1524462910839217e-5
ASV 1940 Paraherbaspirillum	Old saline	2.1524462910839217e-5
ASV 1941 Rheinheimera	Modern marine	7.260651375567958e-6
ASV 1942 Deltaproteobacteria	Modern marine	8.512487819631399e-6
ASV 1943 GIF3	Modern marine	6.259182220317205e-6
ASV 1944 Bacteroidales	Modern marine	7.761385953193334e-6
ASV 1945 Sphingopyxis	Modern marine	7.2606513755679586e-6
ASV 1946 WS2	Modern marine	7.761385953193335e-6
ASV 1947 Candidatus Falkowbacteria	Modern marine	8.011753242006022e-6
ASV 1948 Woesearchaeia	Modern marine	7.01028408675527e-6
ASV 1949 Candidatus Falkowbacteria	Modern marine	7.01028408675527e-6
ASV 1950 Candidatus Falkowbacteria	Modern marine	6.759916797942582e-6
ASV 1951 Candidatus Falkowbacteria	Modern marine	5.007345776253765e-6
ASV 1952 Campylobacterales	Modern marine	7.511018664380646e-6
ASV 1953 Solibacteraceae (Subgroup_3)	Modern marine	7.01028408675527e-6
ASV 1954 Sulfuritalea	Modern marine	8.011753242006022e-6
ASV 1955 Gaiellales	Modern marine	7.511018664380646e-6
ASV 1956 Betaproteobacteriales	Modern marine	7.2606513755679586e-6
ASV 1957 Bacteriovoracaceae	Modern marine	7.761385953193335e-6
ASV 1958 Betaproteobacteriales	Modern marine	8.512487819631399e-6
ASV 1959 Ferritrophicum	Modern marine	7.511018664380646e-6
ASV 1960 Dehalococcoidia	Old saline	2.2959427104895164e-5
ASV 1961 Candidatus Paceibacter	Old saline	2.2241945007867192e-5
ASV 1962 Parachlamydiaceae	Old saline	2.1524462910839217e-5
ASV 1963 Candidatus Falkowbacteria	Modern marine	7.761385953193335e-6
ASV 1964 GIF3	Modern marine	6.509549509129893e-6
ASV 1965 Zixibacteria	Modern marine	7.761385953193335e-6
ASV 1966 Dehalogenimonas	Modern marine	7.511018664380647e-7
ASV 1967 Candidatus Falkowbacteria	Modern marine	9.263589686069464e-6
ASV 1968 Leptospira	Modern marine	6.759916797942582e-6
ASV 1969 Candidatus Magasanikbacteria	Modern marine	6.759916797942582e-6
ASV 1970 Bacteria	Modern marine	6.759916797942582e-6
ASV 1971 Candidatus Magasanikbacteria	Modern marine	4.506611198628388e-6
ASV 1972 Parcubacteria	Modern marine	3.2547747545649467e-6
ASV 1973 Berkelbacteria	Modern marine	3.505142043377635e-6
ASV 1974 Desulfobacteraceae	Modern marine	8.26212053081871e-6
ASV 1975 Omnitrophicaeota	Modern marine	4.2562439098156994e-6
ASV 1976 Parcubacteria	Modern marine	4.756978487441076e-6
ASV 1977 Bacteria	Modern marine	7.511018664380647e-7
ASV 1978 Margulisbacteria	Modern marine	7.01028408675527e-6
ASV 1979 Thermoflexus	Modern marine	7.2606513755679586e-6
ASV 1980 Aminicenantales	Modern marine	7.01028408675527e-6
ASV 1981 Paraherbaspirillum	Old saline	2.008949871678327e-5
ASV 1982 Aminicenantales	Modern marine	6.759916797942582e-6
ASV 1983 4-29-1	Modern marine	6.759916797942582e-6
ASV 1984 Parcubacteria	Modern marine	7.01028408675527e-6
ASV 1985 Polaromonas	Modern marine	6.759916797942582e-6
ASV 1986 Campylobacterales	Modern marine	6.759916797942582e-6
ASV 1987 NKB15	Modern marine	4.506611198628388e-6
ASV 1988 Omnitrophicaeota	Modern marine	7.511018664380646e-6
ASV 1989 Rhodothermaceae	Old saline	2.0806980813811242e-5
ASV 1990 GWD2-49-16	Old saline	2.008949871678327e-5
ASV 1991 Paraherbaspirillum	Modern marine	7.260651375567958e-6
ASV 1992 RBG-16-55-12	Modern marine	8.011753242006022e-6
ASV 1993 Hydrogenedensaceae	Modern marine	5.758447642691829e-6
ASV 1994 Latescibacteria	Modern marine	1.1767262574196346e-5
ASV 1995 Woesearchaeia	Modern marine	5.758447642691828e-6
ASV 1996 Aegiribacteria	Modern marine	1.7525710216888175e-6
ASV 1997 Candidatus Yonathbacteria	Modern marine	7.761385953193335e-6
ASV 1998 Bacteria	Modern marine	4.506611198628388e-6
ASV 1999 Parcubacteria	Modern marine	1.0014691552507528e-6
ASV 2000 Kazania	Modern marine	1.5022037328761294e-6
ASV 2001 Candidatus Magasanikbacteria	Modern marine	4.005876621003011e-6
ASV 2002 Sulfurimonas	Modern marine	6.759916797942582e-6
ASV 2003 Candidatus Kerfeldbacteria	Modern marine	9.513956974882152e-6
ASV 2004 Sulfuricella	Modern marine	7.2606513755679586e-6
ASV 2005 Bacteria	Modern marine	7.2606513755679586e-6
ASV 2006 Babeliales	Modern marine	7.2606513755679586e-6
ASV 2007 Omnitrophicaeota	Modern marine	6.759916797942582e-6
ASV 2008 WOR-1	Modern marine	7.01028408675527e-6
ASV 2009 Candidatus Moranbacteria	Modern marine	7.2606513755679586e-6
ASV 2010 Desulfobacteraceae	Modern marine	6.759916797942582e-6
ASV 2011 Anaerolineaceae	Modern marine	7.2606513755679586e-6
ASV 2012 Anaerolineaceae	Modern marine	7.01028408675527e-6
ASV 2013 Sulfurimonas	Old saline	2.0806980813811242e-5
ASV 2014 Campylobacterales	Old saline	2.008949871678327e-5
ASV 2015 Anaerolineaceae	Old saline	1.9372016619755295e-5
ASV 2016 Candidatus Colwellbacteria	Old saline	3.0134248075174904e-5
ASV 2017 Candidatus Berkiella	Modern marine	7.01028408675527e-6
ASV 2018 CCM11a	Modern marine	7.01028408675527e-6
ASV 2019 Gracilibacteria	Modern marine	7.2606513755679586e-6
ASV 2020 Desulfobulbaceae	Modern marine	7.511018664380646e-6
ASV 2021 Dehalococcoidia	Modern marine	7.01028408675527e-6
ASV 2022 RBG-13-54-9	Modern marine	6.509549509129893e-6
ASV 2023 Woesearchaeia	Modern marine	8.011753242006024e-6
ASV 2024 SEEP-SRB1	Modern marine	3.2547747545649467e-6
ASV 2025 Omnitrophicaeota	Modern marine	7.01028408675527e-6
ASV 2026 Dehalococcoidia	Modern marine	3.2547747545649467e-6
ASV 2027 Latescibacteria	Modern marine	4.506611198628388e-6
ASV 2028 Victivallales	Modern marine	6.509549509129893e-6
ASV 2029 Lineage IV	Modern marine	5.257713065066452e-6
ASV 2030 RBG-13-54-9	Modern marine	2.0029383105015055e-6
ASV 2031 Pir4 lineage	Modern marine	3.505142043377635e-6
ASV 2032 Bacteria	Modern marine	6.759916797942582e-6
ASV 2033 GIF9	Modern marine	6.509549509129893e-6
ASV 2034 Sulfurimonas	Modern marine	6.759916797942582e-6
ASV 2035 Sneathiellaceae	Modern marine	7.511018664380647e-6
ASV 2036 Sulfurimonas	Old saline	2.008949871678327e-5
ASV 2037 Paraherbaspirillum	Old saline	1.9372016619755295e-5
ASV 2038 Pelolinea	Modern marine	6.759916797942582e-6
ASV 2039 Dehalococcoidia	Modern marine	7.511018664380647e-6
ASV 2040 GWB1-42-6	Modern marine	6.509549509129894e-6
ASV 2041 Candidatus Azambacteria	Modern marine	1.2768731729447098e-5
ASV 2042 H3.93	Modern marine	6.509549509129893e-6
ASV 2043 Candidatus Desulforudis	Modern marine	6.759916797942582e-6
ASV 2044 Brevinema	Modern marine	6.509549509129893e-6
ASV 2045 Campylobacterales	Modern marine	6.509549509129893e-6
ASV 2046 CCM11a	Old saline	2.0089498716783267e-5
ASV 2047 Burkholderiaceae	Old saline	1.9372016619755295e-5
ASV 2048 CCM11a	Old saline	5.022374679195818e-6
ASV 2049 Thiobacillus	Modern marine	6.509549509129893e-6
ASV 2050 Candidatus Falkowbacteria	Modern marine	6.759916797942582e-6
ASV 2051 Candidatus Falkowbacteria	Modern marine	5.758447642691829e-6
ASV 2052 vadinBA26	Modern marine	7.01028408675527e-6
ASV 2053 Candidatus Falkowbacteria	Modern marine	7.01028408675527e-6
ASV 2054 Candidatus Komeilibacteria	Modern marine	6.759916797942582e-6
ASV 2055 Candidatus Falkowbacteria	Modern marine	7.01028408675527e-6
ASV 2056 Candidatus Falkowbacteria	Modern marine	7.01028408675527e-6
ASV 2057 Dehalococcoidia	Modern marine	1.0515426130132906e-5
ASV 2058 ABY1	Modern marine	6.509549509129893e-6
ASV 2059 MD2902-B12	Modern marine	7.01028408675527e-6
ASV 2060 Woesearchaeia	Modern marine	7.511018664380646e-6
ASV 2061 Campylobacterales	Modern marine	6.759916797942582e-6
ASV 2062 Burkholderiaceae	Modern marine	7.2606513755679586e-6
ASV 2063 Anaerolineae	Modern marine	6.759916797942582e-6
ASV 2064 Thiobacillus	Modern marine	6.509549509129893e-6
ASV 2065 Sulfuritalea	Modern marine	6.759916797942582e-6
ASV 2066 Betaproteobacteriales	Modern marine	5.007345776253765e-6
ASV 2067 Rhodocyclaceae	Modern marine	8.011753242006022e-6
ASV 2068 Kiloniellaceae	Modern marine	6.259182220317205e-6
ASV 2069 MBNT15	Modern marine	7.01028408675527e-6
ASV 2070 Desulfobulbaceae	Modern marine	1.126652799657097e-5
ASV 2071 Rhodocyclaceae	Modern marine	7.2606513755679586e-6
ASV 2072 Arenibacter	Old saline	1.9372016619755295e-5
ASV 2073 Algoriphagus	Old saline	1.8654534522727324e-5
ASV 2074 KI89A clade	Old saline	2.008949871678327e-5
ASV 2075 Candidatus Paceibacter	Old saline	2.1524462910839217e-5
ASV 2076 Bacteria	Old saline	1.8654534522727324e-5
ASV 2077 C1-B045	Old saline	1.865453452272732e-5
ASV 2078 Aurantimonas	Old saline	2.008949871678327e-5
ASV 2079 Corynebacterium 1	Old saline	1.9372016619755295e-5
ASV 2080 GOUTA6	Old saline	2.2241945007867192e-5
ASV 2081 Desulfocapsa	Modern marine	7.01028408675527e-6
ASV 2082 FW22	Modern marine	6.509549509129893e-6
ASV 2083 Woesearchaeia	Modern marine	6.509549509129893e-6
ASV 2084 GIF3	Modern marine	6.008814931504517e-6
ASV 2085 Aenigmarchaeales	Modern marine	7.01028408675527e-6
ASV 2086 Woesearchaeia	Modern marine	5.758447642691829e-6
ASV 2087 Candidatus Falkowbacteria	Modern marine	6.759916797942582e-6
ASV 2088 AKAU3564 sediment_group	Modern marine	7.511018664380647e-7
ASV 2089 1013-28-CG33	Modern marine	6.259182220317205e-6
ASV 2090 Omnitrophicaeota	Modern marine	6.259182220317205e-6
ASV 2091 Woesearchaeia	Modern marine	6.008814931504517e-6
ASV 2092 SG8-4	Modern marine	6.509549509129893e-6
ASV 2093 Candidatus Azambacteria	Modern marine	7.01028408675527e-6
ASV 2094 Dehalococcoidia	Modern marine	2.5036728881268823e-6
ASV 2095 Omnitrophicaeota	Modern marine	6.759916797942582e-6
ASV 2096 Woesearchaeia	Modern marine	4.756978487441076e-6
ASV 2097 Berkelbacteria	Modern marine	2.253305599314194e-6
ASV 2098 Candidatus Peregrinibacteria	Modern marine	6.509549509129893e-6
ASV 2099 NKB15	Modern marine	4.506611198628388e-6
ASV 2100 Sulfurimonas	Old saline	1.4349641940559479e-5
ASV 2101 FW22	Old saline	1.8654534522727324e-5
ASV 2102 Paraherbaspirillum	Old saline	1.9372016619755295e-5
ASV 2103 Coxiella	Modern marine	8.011753242006024e-6
ASV 2104 Prolixibacteraceae	Modern marine	2.0029383105015055e-6
ASV 2105 Parcubacteria	Modern marine	7.260651375567958e-6
ASV 2106 Parcubacteria	Modern marine	6.509549509129893e-6
ASV 2107 Candidatus Woesebacteria	Modern marine	1.7525710216888175e-6
ASV 2108 UBA9983	Modern marine	4.2562439098156994e-6
ASV 2109 WOR-1	Modern marine	6.759916797942582e-6
ASV 2110 Leptolinea	Modern marine	6.259182220317205e-6
ASV 2111 Bacteria	Modern marine	5.758447642691829e-6
ASV 2112 Candidatus Desulforudis	Old saline	2.0806980813811242e-5
ASV 2113 Campylobacterales	Old saline	1.793705242569935e-5
ASV 2114 Candidatus Desulforudis	Old saline	1.865453452272732e-5
ASV 2115 MND1	Old saline	1.2197195649475557e-5
ASV 2116 Aquincola	Old saline	2.008949871678327e-5
ASV 2117 Hydrogenophaga	Old saline	1.9372016619755295e-5
ASV 2118 Dehalococcoidia	Old saline	1.0044749358391635e-5
ASV 2119 Paraherbaspirillum	Modern marine	1.5022037328761294e-6
ASV 2120 Candidatus Falkowbacteria	Modern marine	1.126652799657097e-5
ASV 2121 Candidatus Falkowbacteria	Modern marine	7.761385953193334e-6
ASV 2122 Candidatus Falkowbacteria	Modern marine	7.511018664380646e-6
ASV 2123 Candidatus Komeilibacteria	Modern marine	7.01028408675527e-6
ASV 2124 Candidatus Falkowbacteria	Modern marine	6.509549509129893e-6
ASV 2125 Xanthobacter	Modern marine	9.013222397256776e-6
ASV 2126 Candidatus Falkowbacteria	Modern marine	7.2606513755679586e-6
ASV 2127 Syntrophaceae	Modern marine	6.759916797942582e-6
ASV 2128 Thiobacillus	Modern marine	6.509549509129893e-6
ASV 2129 Burkholderiaceae	Modern marine	6.259182220317205e-6
ASV 2130 GIF3	Modern marine	3.755509332190323e-6
ASV 2131 Campylobacterales	Modern marine	6.759916797942582e-6
ASV 2132 Campylobacterales	Modern marine	6.759916797942582e-6
ASV 2133 Pseudolabrys	Modern marine	6.509549509129893e-6
ASV 2134 GOUTB8	Modern marine	8.011753242006022e-6
ASV 2135 Candidatus Falkowbacteria	Modern marine	6.759916797942582e-6
ASV 2136 Desulfarculaceae	Modern marine	7.01028408675527e-6
ASV 2137 BSV26	Modern marine	6.259182220317205e-6
ASV 2138 Deltaproteobacteria	Modern marine	6.759916797942582e-6
ASV 2139 Burkholderiaceae	Modern marine	6.259182220317205e-6
ASV 2140 Rhodocyclaceae	Modern marine	6.259182220317205e-6
ASV 2141 Sulfurisoma	Modern marine	7.01028408675527e-6
ASV 2142 Candidatus Kaiserbacteria	Modern marine	9.013222397256776e-6
ASV 2143 Candidatus Falkowbacteria	Modern marine	5.583190540522947e-5
ASV 2144 Anaerolineae	Modern marine	6.259182220317205e-6
ASV 2145 Bacteria	Modern marine	5.007345776253765e-6
ASV 2146 Hydrogenophilaceae	Modern marine	6.509549509129893e-6
ASV 2147 ABY1	Modern marine	5.007345776253765e-6
ASV 2148 Sulfuricellaceae	Modern marine	6.509549509129893e-6
ASV 2149 Bacteria	Old saline	1.865453452272732e-5
ASV 2150 Peptococcaceae	Old saline	2.798180178409098e-5
ASV 2151 Gracilibacteria	Old saline	1.865453452272732e-5
ASV 2152 SEEP-SRB1	Old saline	1.793705242569935e-5
ASV 2153 Desulfoconvexum	Old saline	1.9372016619755295e-5
ASV 2154 Bacillus	Old saline	1.793705242569935e-5
ASV 2155 Rhizobiaceae	Modern marine	8.762855108444087e-6
ASV 2156 Rhizobiales	Modern marine	7.01028408675527e-6
ASV 2157 Devosiaceae	Modern marine	6.509549509129893e-6
ASV 2158 Rhizobiaceae	Modern marine	6.759916797942582e-6
ASV 2159 Desulfatiglans	Modern marine	1.0265058841320216e-5
ASV 2160 Cyclobacteriaceae	Modern marine	1.5022037328761294e-6
ASV 2161 AB1	Old saline	1.4349641940559479e-5
ASV 2162 Peptococcaceae	Modern marine	6.259182220317205e-6
ASV 2163 Desulfatiglans	Modern marine	6.008814931504517e-6
ASV 2164 Dehalococcoidia	Modern marine	6.759916797942582e-6
ASV 2165 ABY1	Modern marine	5.5080803538791415e-6
ASV 2166 Candidatus Kerfeldbacteria	Modern marine	6.509549509129893e-6
ASV 2167 UASB-TL25	Modern marine	3.505142043377635e-6
ASV 2168 Bacteria	Modern marine	4.005876621003011e-6
ASV 2169 Bacteroidetes vadinHA17	Modern marine	2.253305599314194e-6
ASV 2170 Candidatus Paceibacter	Modern marine	2.253305599314194e-6
ASV 2171 Omnitrophicaeota	Modern marine	6.259182220317205e-6
ASV 2172 Omnitrophicaeota	Modern marine	1.7525710216888175e-6
ASV 2173 Patescibacteria	Modern marine	1.2518364440634412e-6
ASV 2174 Christensenellaceae	Modern marine	2.7540401769395703e-6
ASV 2175 Woesearchaeia	Modern marine	2.0029383105015055e-6
ASV 2176 Babeliales	Modern marine	1.2518364440634412e-6
ASV 2177 FW113	Modern marine	1.2518364440634412e-6
ASV 2178 Candidatus Buchananbacteria	Modern marine	4.756978487441076e-6
ASV 2179 Campylobacterales	Old saline	1.793705242569935e-5
ASV 2180 Parcubacteria	Old saline	1.65020882316434e-5
ASV 2181 Methyloversatilis	Modern marine	7.2606513755679586e-6
ASV 2182 Paraherbaspirillum	Modern marine	6.259182220317205e-6
ASV 2183 Candidatus Falkowbacteria	Modern marine	6.008814931504517e-6
ASV 2184 Candidatus Falkowbacteria	Modern marine	5.758447642691829e-6
ASV 2185 Candidatus Falkowbacteria	Modern marine	6.259182220317205e-6
ASV 2186 Firmicutes	Modern marine	6.509549509129893e-6
ASV 2187 Candidatus Planktophila	Modern marine	7.761385953193334e-6
ASV 2188 Burkholderiaceae	Modern marine	6.259182220317205e-6
ASV 2189 Campylobacterales	Modern marine	5.758447642691828e-6
ASV 2190 Campylobacterales	Modern marine	6.259182220317205e-6
ASV 2191 Sulfuricellaceae	Modern marine	6.509549509129893e-6
ASV 2192 Burkholderiaceae	Modern marine	6.509549509129893e-6
ASV 2193 Thiobacillus	Modern marine	1.3019099018259787e-5
ASV 2194 Betaproteobacteriales	Modern marine	6.759916797942582e-6
ASV 2195 Rhodocyclaceae	Modern marine	6.509549509129893e-6
ASV 2196 Omnitrophicaeota	Modern marine	6.259182220317205e-6
ASV 2197 Bacteria	Modern marine	3.505142043377635e-6
ASV 2198 FW113	Modern marine	1.2017629863009035e-5
ASV 2199 Gracilibacteria	Modern marine	6.008814931504517e-6
ASV 2200 Rs-M47	Modern marine	1.0014691552507528e-6
ASV 2201 JS1	Old saline	1.7219570328671374e-5
ASV 2202 Gaiellales	Old saline	1.7219570328671374e-5
ASV 2203 SJA-15	Old saline	2.008949871678327e-5
ASV 2204 SWB02	Modern marine	7.2606513755679586e-6
ASV 2205 Planctomycetes	Modern marine	6.759916797942582e-6
ASV 2206 Woesearchaeia	Modern marine	6.0088149315045166e-6
ASV 2207 SPG12-343-353-B75	Modern marine	6.509549509129893e-6
ASV 2208 Bacteria	Modern marine	6.0088149315045166e-6
ASV 2209 GWB1-42-6	Modern marine	5.758447642691829e-6
ASV 2210 Candidatus Magasanikbacteria	Modern marine	5.257713065066452e-6
ASV 2211 vadinHA49	Modern marine	6.759916797942582e-6
ASV 2212 Omnitrophicaeota	Modern marine	5.758447642691829e-6
ASV 2213 Candidatus Kerfeldbacteria	Modern marine	5.007345776253765e-6
ASV 2214 Sediminispirochaeta	Modern marine	6.008814931504517e-6
ASV 2215 Desulfobacteraceae	Modern marine	6.0088149315045166e-6
ASV 2216 Omnitrophicaeota	Modern marine	5.758447642691829e-6
ASV 2217 Woesearchaeia	Modern marine	5.758447642691829e-6
ASV 2218 Bacteria	Modern marine	2.7540401769395703e-6
ASV 2219 Bacteria	Modern marine	4.005876621003011e-6
ASV 2220 GWB1-42-6	Modern marine	6.008814931504517e-6
ASV 2221 Candidatus Jorgensenbacteria	Modern marine	1.7525710216888175e-6
ASV 2222 Candidatus Kaiserbacteria	Modern marine	3.505142043377635e-6
ASV 2223 Parcubacteria	Modern marine	3.755509332190323e-6
ASV 2224 Bacteria	Modern marine	5.758447642691829e-6
ASV 2225 Candidatus Falkowbacteria	Modern marine	6.259182220317205e-6
ASV 2226 Omnitrophicaeota	Modern marine	6.259182220317205e-6
ASV 2227 Aminicenantales	Modern marine	7.01028408675527e-6
ASV 2228 Omnitrophicaeota	Modern marine	5.758447642691829e-6
ASV 2229 Sideroxydans	Modern marine	3.755509332190323e-6
ASV 2230 Sulfurimonas	Old saline	1.291467774650353e-5
ASV 2231 Burkholderiaceae	Old saline	1.7219570328671374e-5
ASV 2232 WOR-1	Modern marine	7.511018664380647e-7
ASV 2233 Woesearchaeia	Modern marine	5.758447642691829e-6
ASV 2234 GIF3	Modern marine	6.008814931504517e-6
ASV 2235 Campylobacterales	Modern marine	5.758447642691829e-6
ASV 2236 Omnitrophicaeota	Modern marine	6.259182220317205e-6
ASV 2237 Campylobacterales	Modern marine	6.008814931504517e-6
ASV 2238 Sulfurimonas	Old saline	1.7219570328671374e-5
ASV 2239 Candidatus Desulforudis	Old saline	1.7219570328671374e-5
ASV 2240 S085	Old saline	1.65020882316434e-5
ASV 2241 Desulfatirhabdium	Modern marine	6.259182220317205e-6
ASV 2242 Betaproteobacteriales	Modern marine	5.758447642691829e-6
ASV 2243 Candidatus Falkowbacteria	Modern marine	5.257713065066452e-6
ASV 2244 Candidatus Falkowbacteria	Modern marine	6.259182220317205e-6
ASV 2245 Candidatus Falkowbacteria	Modern marine	6.509549509129893e-6
ASV 2246 Candidatus Falkowbacteria	Modern marine	1.7275342928075486e-5
ASV 2247 Dehalococcoidia	Modern marine	5.257713065066452e-6
