asv	origin	relative_abundance
ASV 97 Acidaminobacter	Meteoric	4.471638631976688e-5
ASV 98 Thermodesulfovibrionia	Meteoric	4.397111321443743e-4
ASV 99 Candidatus Falkowbacteria	Modern marine	1.637402068834981e-4
ASV 100 Candidatus Falkowbacteria	Modern marine	1.5172257702048906e-4
ASV 101 Zixibacteria	Modern marine	1.126652799657097e-5
ASV 102 Desulfocarbo	Modern marine	7.285688104449227e-5
ASV 103 Pseudoxanthomonas	Modern marine	1.3720127426935315e-4
ASV 104 GIF3	Modern marine	9.063295855019313e-5
ASV 105 SM1A02	Old saline	4.3048925821678437e-4
ASV 106 Rhodanobacter	Old saline	1.2197195649475557e-5
ASV 107 SPG12-343-353-B75	Modern marine	8.46241436186886e-5
ASV 108 Candidatus Falkowbacteria	Modern marine	1.4195825275679423e-4
ASV 109 Thiobacillus	Modern marine	1.4371082377848303e-4
ASV 110 Pseudolabrys	Modern marine	1.3269466307072475e-5
ASV 111 Candidatus Falkowbacteria	Modern marine	1.31693193915474e-4
ASV 112 Bacteroidetes vadinHA17	Modern marine	5.758447642691829e-6
ASV 113 Omnitrophicaeota	Modern marine	1.4746633311067336e-4
ASV 114 Rhizobiaceae	Modern marine	1.3619980511410238e-4
ASV 115 Candidatus Azambacteria	Modern marine	1.2267997151821722e-4
ASV 116 Paraherbaspirillum	Modern marine	1.2868878644972174e-4
ASV 117 Neorhizobium	Old saline	3.9963752804458147e-4
ASV 118 Syntrophus	Modern marine	1.4145751817916884e-4
ASV 119 Hydrogenophaga	Modern marine	1.3069172476022324e-4
ASV 120 Desulfoconvexum	Modern marine	1.3094209204903592e-4
ASV 121 Ignavibacterium	Modern marine	2.7540401769395707e-6
ASV 122 Sulfurimonas	Modern marine	1.3494796867003894e-4
ASV 123 Candidatus Falkowbacteria	Modern marine	1.3619980511410238e-4
ASV 124 Ferritrophicum	Modern marine	1.3619980511410238e-4
ASV 125 NKB15	Modern marine	2.0530117682640432e-5
ASV 126 Candidatus Kerfeldbacteria	Modern marine	1.2868878644972174e-4
ASV 127 Desulfovibrio	Modern marine	1.3745164155816583e-4
ASV 128 SEEP-SRB1	Modern marine	1.9278281238576993e-5
ASV 129 Candidatus Pacebacteria	Modern marine	1.3119245933784863e-4
ASV 130 Hydrogenedensaceae	Modern marine	7.511018664380647e-7
ASV 131 Aminicenantales	Modern marine	5.4329701672353346e-5
ASV 132 ADurb.Bin180	Modern marine	2.0029383105015055e-6
ASV 133 SEEP-SRB1	Modern marine	1.1341638183214777e-4
ASV 134 Bacteria	Modern marine	1.567299227967428e-4
ASV 135 KF-JG30-C25	Old saline	1.0044749358391635e-5
ASV 136 Ferritrophicum	Modern marine	1.234310733846553e-4
ASV 137 Thermodesulfovibrionia	Modern marine	1.2267997151821722e-4
ASV 138 Candidatus Falkowbacteria	Modern marine	1.0365205756845292e-4
ASV 139 Desulfobulbaceae	Modern marine	1.3069172476022324e-4
ASV 140 Acinetobacter	Modern marine	8.737818379562819e-5
ASV 141 Candidatus Falkowbacteria	Modern marine	1.1016160707758282e-4
ASV 142 Lentimicrobiaceae	Modern marine	6.259182220317205e-6
ASV 143 GIF9	Modern marine	2.6038198036519573e-5
ASV 144 Candidatus Nomurabacteria	Modern marine	9.088332583900582e-5
ASV 145 WS2	Modern marine	5.257713065066452e-6
