Origin	Reference	input	filtered	denoisedF	denoisedR	merged	nonchim	proportion retained	asvs
Shallow sediment	E22	271469	122926	102408	109221	62412	58730	0.22	1678
Shallow sediment	E23	169371	75748	58625	64385	33852	31264	0.18	989
Shallow sediment	E24	300595	135061	107584	118260	61552	56377	0.19	1622
Shallow sediment	E25	255821	107194	83476	90853	43495	38641	0.15	1093
Soil	S54	104374	94416	48856	71808	19206	18640	0.18	1512
Soil	S55	72944	65905	35189	44697	13134	12812	0.18	1024
Soil	S56	307059	277718	174642	226656	83209	79497	0.26	5038
Soil	S64	79494	71418	45738	59311	23612	12483	0.16	761
Soil	S65	124979	111644	76498	97316	42719	15440	0.12	834
Soil	S66	173738	155435	109601	137824	64661	22162	0.13	1124
Soil	S67	138082	123666	61865	96004	26575	25386	0.18	1819
Soil	S68	279488	249760	162380	206530	86956	81671	0.29	4378
Soil	S69	222859	200543	134566	166544	76139	72080	0.32	3976
