asv	origin	relative_abundance
ASV 1 Candidatus Falkowbacteria	Meteoric	0.020107468381788507
ASV 1 Candidatus Falkowbacteria	Modern marine	0.10920119815769734
ASV 1 Candidatus Falkowbacteria	Old saline	0.00843902442524303
ASV 2 ADurb.Bin120	Meteoric	4.173529389844908e-4
ASV 2 ADurb.Bin120	Modern marine	0.015906084225558895
ASV 2 ADurb.Bin120	Old saline	0.05745237891951501
ASV 3 WCHB1-81	Meteoric	2.3103466265212889e-4
ASV 3 WCHB1-81	Modern marine	0.004580469548828131
ASV 3 WCHB1-81	Old saline	0.03281045629708925
ASV 4 Candidatus Yonathbacteria	Meteoric	1.5650735211918408e-4
ASV 4 Candidatus Yonathbacteria	Modern marine	0.0141835572785276
ASV 4 Candidatus Yonathbacteria	Old saline	0.0017980101351521027
ASV 5 Syntrophus	Meteoric	0.0014085661690726567
ASV 5 Syntrophus	Modern marine	0.010146885481000628
ASV 5 Syntrophus	Old saline	0.003717274744701933
ASV 6 Bacteria	Meteoric	7.676312984893314e-4
ASV 6 Bacteria	Modern marine	0.008824946196069635
ASV 6 Bacteria	Old saline	0.00675652890771243
ASV 7 JS1	Meteoric	8.048949537558038e-4
ASV 7 JS1	Modern marine	0.0044447704782916535
ASV 7 JS1	Old saline	0.005680305762170469
ASV 8 Aminicenantales	Meteoric	8.272531469156873e-4
ASV 8 Aminicenantales	Modern marine	0.004620528315038161
ASV 8 Aminicenantales	Old saline	0.003291807861164344
ASV 9 Candidatus Falkowbacteria	Meteoric	0.002437043054427295
ASV 9 Candidatus Falkowbacteria	Modern marine	0.004286788719050847
ASV 9 Candidatus Falkowbacteria	Old saline	0.0012620510086722061
ASV 10 Candidatus Pacebacteria	Meteoric	3.9499474582460744e-4
ASV 10 Candidatus Pacebacteria	Modern marine	0.0048989367401978704
ASV 10 Candidatus Pacebacteria	Old saline	5.890528016599666e-4
ASV 11 Syntrophus	Meteoric	0.012528040900588022
ASV 11 Syntrophus	Modern marine	0.004244226279952691
ASV 11 Syntrophus	Old saline	0.002006797425387243
ASV 12 WWE3	Meteoric	0.0038008928371801847
ASV 12 WWE3	Modern marine	0.0039625630800384165
ASV 12 WWE3	Old saline	0.00126061604447815
ASV 13 Berkelbacteria	Meteoric	1.1179096579941719e-4
ASV 13 Berkelbacteria	Modern marine	0.002022967693606521
ASV 13 Berkelbacteria	Old saline	5.424164653531483e-4
ASV 14 WWE3	Meteoric	4.6206932530425777e-4
ASV 14 WWE3	Modern marine	0.002701963780866531
ASV 14 WWE3	Old saline	7.669883617229041e-4
ASV 15 Syntrophus	Meteoric	1.0433823474612272e-4
ASV 15 Syntrophus	Modern marine	0.0034212690016253845
ASV 15 Syntrophus	Old saline	6.636709397508759e-4
ASV 16 Ralstonia	Meteoric	6.707457947965032e-5
ASV 16 Ralstonia	Modern marine	1.0014691552507528e-6
ASV 16 Ralstonia	Old saline	2.0806980813811242e-5
ASV 17 Bacteria	Meteoric	4.471638631976688e-5
ASV 17 Bacteria	Modern marine	0.0030439654973846634
ASV 17 Bacteria	Old saline	3.8600536820105e-4
ASV 18 Candidatus Levybacteria	Meteoric	0.004888991570961179
ASV 18 Candidatus Levybacteria	Modern marine	0.002523201536654272
ASV 18 Candidatus Levybacteria	Old saline	0.001100617536840912
ASV 19 Candidatus Falkowbacteria	Meteoric	7.45273105329448e-5
ASV 19 Candidatus Falkowbacteria	Modern marine	0.0021596682332982483
ASV 19 Candidatus Falkowbacteria	Old saline	4.4699134644842777e-4
ASV 20 Berkelbacteria	Meteoric	4.397111321443743e-4
ASV 20 Berkelbacteria	Modern marine	7.480974589723124e-4
ASV 20 Berkelbacteria	Old saline	2.676208221914343e-4
ASV 21 Candidatus Azambacteria	Meteoric	0.0013489443206463009
ASV 21 Candidatus Azambacteria	Modern marine	0.0019153097594170648
ASV 21 Candidatus Azambacteria	Old saline	6.6223597555682e-4
ASV 22 Candidatus Portnoybacteria	Meteoric	2.235819315988344e-5
ASV 22 Candidatus Portnoybacteria	Modern marine	0.0016073579941774583
ASV 22 Candidatus Portnoybacteria	Old saline	3.357816214090918e-4
ASV 23 Woesearchaeia	Meteoric	2.533928558120123e-4
ASV 23 Woesearchaeia	Modern marine	0.0014210847313008183
ASV 23 Woesearchaeia	Old saline	3.766781009396863e-4
ASV 24 Thermodesulfovibrionia	Meteoric	9.688550369282824e-5
ASV 24 Thermodesulfovibrionia	Modern marine	3.7680276966309576e-4
ASV 24 Thermodesulfovibrionia	Old saline	5.309367518007007e-5
ASV 25 Candidatus Falkowbacteria	Meteoric	0.0011104569269408775
ASV 25 Candidatus Falkowbacteria	Modern marine	0.0011854891125280787
ASV 25 Candidatus Falkowbacteria	Old saline	9.11202263225527e-5
ASV 26 FS118-23B-02	Meteoric	9.837604990348713e-4
ASV 26 FS118-23B-02	Modern marine	0.0010693186905189915
ASV 26 FS118-23B-02	Old saline	2.676208221914343e-4
ASV 27 Candidatus Magasanikbacteria	Meteoric	2.7575104897189574e-4
ASV 27 Candidatus Magasanikbacteria	Modern marine	0.0010485382055475383
ASV 27 Candidatus Magasanikbacteria	Old saline	1.894152736153851e-4
ASV 28 Pseudomonas	Meteoric	2.981092421317792e-5
ASV 28 Pseudomonas	Modern marine	1.4771670039948604e-5
ASV 28 Pseudomonas	Old saline	1.2197195649475557e-4
ASV 29 Syntrophus	Meteoric	0.0012818697411666506
ASV 29 Syntrophus	Modern marine	0.0010089801739151334
ASV 29 Syntrophus	Old saline	4.2403191934353257e-4
ASV 30 Bacteria	Meteoric	0.0038157982992867738
ASV 30 Bacteria	Modern marine	9.992158496514387e-4
ASV 30 Bacteria	Old saline	7.820554857604916e-5
ASV 31 Desulfocarbo	Meteoric	1.490546210658896e-4
ASV 31 Desulfocarbo	Modern marine	6.088932463924578e-4
ASV 31 Desulfocarbo	Old saline	0.001509582332146857
ASV 32 Candidatus Falkowbacteria	Meteoric	0.0010359296164079326
ASV 32 Candidatus Falkowbacteria	Modern marine	9.786857319687983e-4
ASV 32 Candidatus Falkowbacteria	Old saline	1.298642595620633e-4
ASV 33 RBG-16-55-12	Meteoric	0.0017066754112044357
ASV 33 RBG-16-55-12	Modern marine	9.273604377621972e-4
ASV 33 RBG-16-55-12	Old saline	3.30759246729896e-4
ASV 34 Christensenellaceae R-7_group	Meteoric	0.002809679607092019
ASV 34 Christensenellaceae R-7_group	Modern marine	9.326181508272636e-4
ASV 34 Christensenellaceae R-7_group	Old saline	2.8484039252010563e-4
ASV 35 Syntrophus	Meteoric	4.1735293898449087e-4
ASV 35 Syntrophus	Modern marine	8.88052773418605e-4
ASV 35 Syntrophus	Old saline	3.451088886704554e-4
ASV 36 GWD2-49-16	Meteoric	0.001088098733780994
ASV 36 GWD2-49-16	Modern marine	5.946223109301346e-4
ASV 36 GWD2-49-16	Old saline	8.337141967465056e-4
ASV 37 Actinomarinales	Meteoric	3.72636552664724e-5
ASV 37 Actinomarinales	Modern marine	8.227069110384934e-4
ASV 37 Actinomarinales	Old saline	2.1309218281730823e-4
