environment	sample	unfiltered	filtered	lost	retained [%]	lost [%]
Marine surface	P1313_2063	21526	20065	1461	93.21285886834526	6.787141131654735
Marine surface	P1313_2064	130094	127270	2824	97.82926191830522	2.170738081694779
Marine surface	P1313_2065	80495	76013	4482	94.43195229517362	5.568047704826384
Marine surface	P1313_2066	90302	84938	5364	94.05993222741468	5.940067772585323
Marine surface	P1313_2067	263834	263039	795	99.69867416633186	0.3013258336681446
Marine surface	P1313_2068	129511	125122	4389	96.61109867115535	3.3889013288446534
Marine surface	P1313_2069	53213	50676	2537	95.23236803036852	4.767631969631481
Marine surface	P1313_2070	102806	99751	3055	97.02838355737991	2.971616442620089
Marine surface	P1313_2071	101373	97677	3696	96.35405877304608	3.645941226953923
Marine surface	P1313_2072	103319	102969	350	99.66124333375275	0.3387566662472494
Marine surface	P1313_2074	283154	282572	582	99.79445813938705	0.20554186061295354
Marine surface	P1313_2075	118694	118234	460	99.6124488179689	0.3875511820311033
Marine surface	P1313_2076	43103	43051	52	99.87935874533095	0.12064125466905296
Marine surface	P1313_2077	48270	47367	903	98.12927284027346	1.8707271597265418
Marine surface	P1313_2078	91945	89351	2594	97.17874816466366	2.8212518353363407
Marine surface	P1313_2079	123330	99418	23912	80.61136787480743	19.388632125192572
Marine surface	P1313_2080	142763	138520	4243	97.02794141339143	2.9720585866085685
Marine surface	P1313_2081	6985	6689	296	95.76234788833214	4.237652111667856
Marine surface	P1313_2082	303669	248729	54940	81.90793265035285	18.092067349647152
Marine surface	P1313_2083	36422	35446	976	97.32030091702816	2.679699082971837
Marine surface	P1313_2084	149623	142891	6732	95.50069173856961	4.499308261430386
Marine surface	P1313_2085	275603	265470	10133	96.32333465165473	3.676665348345267
Marine surface	P1313_2086	39666	37616	2050	94.8318459133767	5.1681540866233036
Marine surface	P1313_2087	20546	19795	751	96.34478730653169	3.6552126934683145
Marine surface	P1313_2088	225647	220866	4781	97.88120382721685	2.1187961727831492
Marine surface	P1313_2089	125820	122585	3235	97.42886663487522	2.57113336512478
Marine surface	P1313_2090	1274	1254	20	98.43014128728414	1.569858712715856
Marine surface	P1313_2091	8885	8416	469	94.72144063027574	5.278559369724263
